condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
pooled_ablation_n1000_full_case1,case1,full,1,100001,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08784722222222337,0.031305862310784444,1.3852411126427775,27.125000000000252,0.781009554637143,2.8861179298327517,441691.2016665468,29.200000000000003,0.0,0.0,0.0,0.0,1.0,11.134457173182561,0.011390877609151367,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,2,100002,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06597222222222335,0.02871867821215094,1.8531982810208887,27.00625000000025,1.057463274892818,2.903442660154864,441657.85754909983,28.5,0.0,0.0,0.0,0.0,1.0,10.992175034864175,0.013105251259929878,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,3,100003,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08159722222222329,0.03613942005727297,1.2964684192716631,26.58750000000024,0.7255236109742835,2.923986763998744,441649.68251709023,29.25,0.0,0.0,0.0,0.0,1.0,10.48926045472851,0.01282783297825048,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,4,100004,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08263888888889026,0.03576145246517999,1.684156013777084,26.93750000000025,1.0010595448485264,2.5697686271856246,441658.571875602,29.55,0.0,0.0,0.0,0.0,1.0,11.583342740211998,0.011977139421666425,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,5,100005,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07708333333333442,0.03341258146955029,1.6230336397026544,26.59375000000024,0.9698574887457291,2.9803625692290794,441638.72277959686,28.55,0.0,0.0,0.0,0.0,1.0,10.147721493071172,0.01622787167323649,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,6,100006,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06944444444444538,0.028671515371899565,1.6983405007171033,26.58750000000024,0.9279276322888842,2.519218973784593,441629.90241502115,28.450000000000003,0.0,0.0,0.0,0.0,1.0,13.326208930492685,0.012796055131147097,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,7,100007,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07118055555555633,0.030753944825942174,1.1404700455685481,28.30625000000027,0.8148736390156419,2.6570209160219878,441736.9573292981,29.900000000000002,0.0,0.0,0.0,0.0,1.0,10.598051251808506,0.021130752767168925,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,8,100008,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06875000000000082,0.040427280756472374,1.6543317376135798,26.681250000000247,1.2034001379311283,2.973799832463814,441660.92393923923,27.85,0.0,0.0,0.0,0.0,1.0,10.628772667821842,0.019990957978587246,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,9,100009,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07534722222222334,0.03308241810911888,1.3659196389340034,26.36250000000024,0.834745361780276,2.9488442316099324,441638.1441677023,28.8,0.0,0.0,0.0,0.0,1.0,8.285180429559885,0.021201892674847473,0.0,nan,nan,nan,0
pooled_ablation_n1000_full_case1,case1,full,10,100010,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08402777777777892,0.0399790757666796,1.193873819378949,28.031250000000263,0.7289400063487234,2.657181585727944,441725.22948963416,29.8,0.0,0.0,0.0,0.0,1.0,10.645404921869092,0.025285657332858515,0.0,nan,nan,nan,0
